Variable,Range,Comparison,t_statistic,p_value,mean_difference
NMI,132-141_142-151,Alpha 0.2 vs Alpha 0.8,3.170592103100266,0.003667776846746887,
NMI,132-141_142-151,Alpha 0.5 vs Alpha 0.8,2.0301369517160364,0.051939991178375194,
NMI,132-141_242-251,Normal vs Apathy (Alpha 0.2),5.203453638869111,1.5903594569084657e-05,0.05252451686530965
NMI,132-141_242-251,Normal vs Apathy (Alpha 0.5),3.1052898772887474,0.004322109303078218,0.01904694973572514
NMI,132-141_242-251,Normal vs Apathy (Alpha 0.8),0.5362990123512653,0.5959874043201845,0.0045430005570719495
NMI,132-141_242-251,Alpha 0.2 vs Alpha 0.5,3.105756378757162,0.00431706183782246,
NMI,132-141_242-251,Alpha 0.2 vs Alpha 0.8,3.8582415944466373,0.0006137247491416221,
NMI,132-141_242-251,Alpha 0.5 vs Alpha 0.8,1.3912250087052533,0.17511378943862838,
acc_mean,132-141_142-151,Normal vs Apathy (Alpha 0.2),30.019411425092553,7.719550560595886e-23,9.75915262196055
acc_mean,132-141_142-151,Normal vs Apathy (Alpha 0.5),19.44970607075031,8.421995288739756e-18,7.455417597377151
acc_mean,132-141_142-151,Normal vs Apathy (Alpha 0.8),9.351463713023396,4.1398031059995507e-10,6.193750029900795
acc_mean,132-141_142-151,Alpha 0.2 vs Alpha 0.5,4.584208537468987,8.637441888804828e-05,
acc_mean,132-141_142-151,Alpha 0.2 vs Alpha 0.8,4.796904530135776,4.832341339587104e-05,
acc_mean,132-141_142-151,Alpha 0.5 vs Alpha 0.8,1.6393426839040708,0.11233107609392787,
acc_mean,132-141_242-251,Normal vs Apathy (Alpha 0.2),31.329041427951246,2.414631219464287e-23,16.365931373162127
acc_mean,132-141_242-251,Normal vs Apathy (Alpha 0.5),27.02562340115595,1.330030062349084e-21,15.399258246630266
acc_mean,132-141_242-251,Normal vs Apathy (Alpha 0.8),14.976524897816008,6.787325669022624e-15,13.533563926530869
acc_mean,132-141_242-251,Alpha 0.2 vs Alpha 0.5,1.2274610704263467,0.22986944237254947,
acc_mean,132-141_242-251,Alpha 0.2 vs Alpha 0.8,2.6763377651911675,0.012299015953134096,
acc_mean,132-141_242-251,Alpha 0.5 vs Alpha 0.8,1.7328577944182102,0.09412336880819681,
SSIM_mean,132-141_142-151,Normal vs Apathy (Alpha 0.2),6.238515122767433,9.656107191042953e-07,0.0009549919327579064
SSIM_mean,132-141_142-151,Normal vs Apathy (Alpha 0.5),3.6870621357499296,0.0009659339732365063,0.00017729153045152577
SSIM_mean,132-141_142-151,Normal vs Apathy (Alpha 0.8),1.9817155659560115,0.05740584947781715,5.4219817229506496e-05
SSIM_mean,132-141_142-151,Alpha 0.2 vs Alpha 0.5,4.8445591540099935,4.2421428088184814e-05,
SSIM_mean,132-141_142-151,Alpha 0.2 vs Alpha 0.8,5.830847098337044,2.8876882011472188e-06,
SSIM_mean,132-141_142-151,Alpha 0.5 vs Alpha 0.8,2.1857269309934413,0.0373593263075773,
SSIM_mean,132-141_242-251,Normal vs Apathy (Alpha 0.2),4.410537015007154,0.00013860068455635063,0.001332932271789326
SSIM_mean,132-141_242-251,Normal vs Apathy (Alpha 0.5),12.290509952842406,8.454931877114359e-13,0.0008835295707692734
SSIM_mean,132-141_242-251,Normal vs Apathy (Alpha 0.8),30.163098110795655,6.779694245178283e-23,0.0009477313583117731
SSIM_mean,132-141_242-251,Alpha 0.2 vs Alpha 0.5,1.5465610522194972,0.13319832185284167,
SSIM_mean,132-141_242-251,Alpha 0.2 vs Alpha 0.8,1.3429549284622175,0.19007218442306073,
SSIM_mean,132-141_242-251,Alpha 0.5 vs Alpha 0.8,-1.0440584233674948,0.30538896974347796,
